Threshold,AFMBWNetV2_Full_Precision,AFMBWNetV2_Full_Recall,Ablation (No ASPP)_Precision,Ablation (No ASPP)_Recall,Ablation (No AG)_Precision,Ablation (No AG)_Recall,Baseline (U-Net)_Precision,Baseline (U-Net)_Recall,Structure (U-Net++)_Precision,Structure (U-Net++)_Recall,Attention (TransUNet)_Precision,Attention (TransUNet)_Recall,Dual-Expert (White)_Precision,Dual-Expert (White)_Recall,Dual-Expert (Black)_Precision,Dual-Expert (Black)_Recall
0.5413793103448277,0.9237316494312344,0.6406314315137351,0.6088229392629013,0.19655037512222268,0.5606097159239116,0.23349490273447243,0.5419006665233284,0.19283103152618053,0.5508223933744456,0.15740443679130617,0.49703747227961104,0.2675071063843461,0.5162355420291995,0.07847141710969463,0.35617688542271636,0.31750351047480796
0.5689655172413793,0.9257886947226169,0.6387426864045546,0.6128251868945924,0.19342167879499797,0.5662471176018448,0.22845807909062762,0.5446924882457461,0.18997521627738184,0.5525405726755672,0.15549171895187142,0.5015770104325306,0.26256413342915624,0.5186895218912041,0.07775682572488181,0.3584849035852551,0.31072789880039436
0.5965517241379311,0.927851294086871,0.6368075260091371,0.6169387120465267,0.19023840625208804,0.5719623825433694,0.22344522817703708,0.5475073939871693,0.18704901301209195,0.5544100232237342,0.15354431716228162,0.5064447116855346,0.25754618193466056,0.521316465131688,0.07705192544378879,0.36143203494126513,0.3045327332329879
0.6241379310344828,0.9299319417847854,0.6348351313731121,0.6214488949479946,0.18693475999981637,0.577651714541003,0.21829517163709775,0.550363137015563,0.18398203371381966,0.5562362689331862,0.15147909195378262,0.5113407414455747,0.2521722098929847,0.524051750412511,0.07629907970218729,0.3640762297013115,0.297939722354979
0.6517241379310346,0.9321144979893125,0.6327474636086304,0.6261457791298083,0.18351329032863553,0.5835531426208346,0.21304667388568885,0.5534881032535426,0.1807166418183367,0.5581641060067437,0.1492787013512969,0.5167629600485815,0.24653504787660266,0.5271595402757064,0.07554266355395216,0.36683481411152025,0.2908743976851524
0.6793103448275862,0.9342735495593822,0.6304680140021147,0.6314465363790247,0.1799964397945282,0.5895177104815659,0.2077680827069395,0.5568148510014655,0.177316084528867,0.5603543721530269,0.14688601884868668,0.5226063859271035,0.24044903474056661,0.5304180581413038,0.07469341683324314,0.3695507658203143,0.2829771682696942
0.706896551724138,0.9366171900077128,0.6280676806281468,0.636939329545308,0.17627352579185243,0.5950877741392033,0.20196872221777337,0.5604756310650858,0.1737497583599796,0.5631102937371373,0.14430512491067607,0.5297268884455832,0.23336789826993395,0.5340112460705168,0.07382172755655142,0.3725000918160381,0.2741847869053807
0.7344827586206897,0.9390792492139418,0.6253460106571538,0.6431819349779497,0.17235985006332372,0.6013476814713363,0.19595717756295264,0.564801914249107,0.16975651356933041,0.5659892252479092,0.14125242723893824,0.5386793962800824,0.2248779813532963,0.5384041394540775,0.07286944910155818,0.3759312450328135,0.2632221083659218
0.7620689655172415,0.9417860370773153,0.6223698216989934,0.6500166756458606,0.16800344391222716,0.6084370168593094,0.18968958374669292,0.5694558297188135,0.16547049543472506,0.5694839252111943,0.13784625931047287,0.5501455387284566,0.21478495185816712,0.5431476978889275,0.07178302536875925,0.3823490794160908,0.24953112910029324
0.7896551724137931,0.9445696638378153,0.6190248607413898,0.6582163754107828,0.16335579459144603,0.6159304936204448,0.18274769313477113,0.5745841336901419,0.1606596275249788,0.574164720086087,0.13389789963178905,0.563059038422055,0.20282561980984015,0.5484376425599099,0.07051757124618922,0.39149646756583173,0.2331832572411672
0.8172413793103449,0.9475589564911272,0.6150560987390854,0.6676967169839781,0.15804047923017953,0.6236137590778769,0.1748443430222268,0.5802870243462923,0.15505153881975617,0.5801316757359358,0.1295282319703391,0.5784964021284104,0.18981556809505035,0.554748383607444,0.06905829504922316,0.3978705359939634,0.21703532815352342
0.8448275862068966,0.9508344186881814,0.6103100082068347,0.6789305979722173,0.15171626896587254,0.6323423306034893,0.1658433478988922,0.58728918605731,0.14838048905389836,0.5866750601776144,0.12406601987900402,0.5967461403335362,0.175523740398794,0.5624925370588335,0.06727666213905102,0.40808357016667945,0.20323927692124857
0.8724137931034484,0.9543137720884707,0.6042168542575314,0.6929920495459516,0.14382363007322904,0.6429620102135365,0.1550229755666873,0.5967888241858401,0.13993341701686404,0.5943509272467903,0.11688083155790613,0.6184375655699089,0.1593554089875296,0.5727153994264094,0.0650859626402851,0.4279374742527578,0.19074438387787984
0.9,0.9582566967964766,0.5960513342864618,0.71178028878387,0.13320932120959256,0.6580201803969301,0.14173290196020424,0.6121540939532293,0.1289105516227243,0.6064210995525144,0.10686227054399225,0.6488715362296263,0.1359672053050122,0.5871546396710511,0.062272992271089754,0.46669184014032183,0.1758812911202457
